device_name,model_number,text
X-Ray Machine,Model 5022,"Device Manual: X-Ray Machine Model 5022

DEVICE INFORMATION:
- Device Name: X-Ray Machine
- Model Number: Model 5022
- Manufacturer: Intuitive Surgical
- Manual Version: 2024-04-X
- Publication Date: 2016-11-30

REGULATORY DETAILS:
- Device Class: Class III
- Regulatory Approval ID: UKCA43955

CLINICAL INFORMATION:
- Patient Population: Geriatric
- Indications for Use: Indicated for oxygen saturation analysis in laboratory diagnostic testing environments.
- Contraindications: Do not use in patients with coagulopathy or severe severe hypertension.

TECHNICAL SPECIFICATIONS:
- Sterilization Method: Ethylene Oxide (EtO)
- Device Lifetime: 8.0 years
- Device Weight: 3.1 kg
- Maximum Operating Temperature: 24.0°C

SAFETY METRICS:
- Number of Warnings: 5
- Number of Cautions: 3
"
Pacemaker,C-5712,"Device Manual: Pacemaker C-5712

DEVICE INFORMATION:
- Device Name: Pacemaker
- Model Number: C-5712
- Manufacturer: Sonova
- Manual Version: Rev. 2.1
- Publication Date: 2024-01-27

REGULATORY DETAILS:
- Device Class: Class I
- Regulatory Approval ID: P894040

CLINICAL INFORMATION:
- Patient Population: Adult (>65)
- Indications for Use: Used for intraoperative quality control monitoring during complex laparoscopic surgeries.
- Contraindications: Do not use in patients with autoimmune disorders. Contraindicated in unstable patient conditions.

TECHNICAL SPECIFICATIONS:
- Sterilization Method: UV Sterilization
- Device Lifetime: 15.0 years
- Device Weight: 0.06 kg
- Maximum Operating Temperature: 40.0°C

SAFETY METRICS:
- Number of Warnings: 2
- Number of Cautions: 10
"
Catheter,Model 288,"Device Manual: Catheter Model 288

DEVICE INFORMATION:
- Device Name: Catheter
- Model Number: Model 288
- Manufacturer: Boston Scientific
- Manual Version: Rev. 8.8
- Publication Date: 2022-09-16

REGULATORY DETAILS:
- Device Class: Class III
- Regulatory Approval ID: Q364693

CLINICAL INFORMATION:
- Patient Population: All
- Indications for Use: Indicated for blood pressure optimization in sleep medicine centers for respiratory disorders.
- Contraindications: Avoid use in patients with epilepsy or severe severe hypertension.

TECHNICAL SPECIFICATIONS:
- Sterilization Method: Dry Heat
- Device Lifetime: 4.0 years
- Device Weight: 16.22 kg
- Maximum Operating Temperature: 38.0°C

SAFETY METRICS:
- Number of Warnings: 2
- Number of Cautions: 7
"
Surgical Robot,Max157,"Device Manual: Surgical Robot Max157

DEVICE INFORMATION:
- Device Name: Surgical Robot
- Model Number: Max157
- Manufacturer: Edwards Lifesciences
- Manual Version: v13.2
- Publication Date: 2015-10-04

REGULATORY DETAILS:
- Device Class: Class I
- Regulatory Approval ID: BLA667939

CLINICAL INFORMATION:
- Patient Population: Geriatric
- Indications for Use: Intended for measurement support in cardiac catheterization laboratory environments.
- Contraindications: Not recommended during pregnancy, lactation, or in organ transplant under 21 years.

TECHNICAL SPECIFICATIONS:
- Sterilization Method: Dry Heat
- Device Lifetime: 4.0 years
- Device Weight: 10.27 kg
- Maximum Operating Temperature: 31.0°C

SAFETY METRICS:
- Number of Warnings: 15
- Number of Cautions: 24
"
Orthopedic Implant,GET527,"Device Manual: Orthopedic Implant GET527

DEVICE INFORMATION:
- Device Name: Orthopedic Implant
- Model Number: GET527
- Manufacturer: Getinge
- Manual Version: Version 11
- Publication Date: 2019-07-10

REGULATORY DETAILS:
- Device Class: Class IIa
- Regulatory Approval ID: BLA301637

CLINICAL INFORMATION:
- Patient Population: Pediatric
- Indications for Use: Indicated for emergency oxygen saturation stabilization in trauma center resuscitation rooms.
- Contraindications: Not recommended for use in trauma patients or those with active infections.

TECHNICAL SPECIFICATIONS:
- Sterilization Method: Not Applicable
- Device Lifetime: 22.0 years
- Device Weight: 0.14 kg
- Maximum Operating Temperature: 40.0°C

SAFETY METRICS:
- Number of Warnings: 2
- Number of Cautions: 4
"
Patient Monitor,SAR986,"Device Manual: Patient Monitor SAR986

DEVICE INFORMATION:
- Device Name: Patient Monitor
- Model Number: SAR986
- Manufacturer: Sartorius
- Manual Version: Rev. 1.3
- Publication Date: 2018-12-29

REGULATORY DETAILS:
- Device Class: Class II
- Regulatory Approval ID: NDA556992

CLINICAL INFORMATION:
- Patient Population: Pediatric (2-18)
- Indications for Use: Used for pain management guidance in oncology treatment centers for cancer patients.
- Contraindications: Avoid use in patients with malignant hyperthermia or altered consciousness.

TECHNICAL SPECIFICATIONS:
- Sterilization Method: Single-Use Sterile
- Device Lifetime: 10.0 years
- Device Weight: 3.75 kg
- Maximum Operating Temperature: 19.0°C

SAFETY METRICS:
- Number of Warnings: 10
- Number of Cautions: 12
"
Digital Thermometer,C-4950,"Device Manual: Digital Thermometer C-4950

DEVICE INFORMATION:
- Device Name: Digital Thermometer
- Model Number: C-4950
- Manufacturer: Dentsply Sirona
- Manual Version: 2020-11-L
- Publication Date: 2017-02-03

REGULATORY DETAILS:
- Device Class: Class IIa
- Regulatory Approval ID: IDE296175

CLINICAL INFORMATION:
- Patient Population: Adult and Pediatric
- Indications for Use: Used for oxygen therapy administration in pediatric hospital units under specialist supervision.
- Contraindications: Avoid use in patients with pulmonary edema or altered consciousness.

TECHNICAL SPECIFICATIONS:
- Sterilization Method: UV Sterilization
- Device Lifetime: 4.0 years
- Device Weight: nan kg
- Maximum Operating Temperature: 27.0°C

SAFETY METRICS:
- Number of Warnings: 4
- Number of Cautions: 9
"
Surgical Robot,INT189,"Device Manual: Surgical Robot INT189

DEVICE INFORMATION:
- Device Name: Surgical Robot
- Model Number: INT189
- Manufacturer: Intuitive Surgical
- Manual Version: v5.8
- Publication Date: 2025-02-02

REGULATORY DETAILS:
- Device Class: Class III
- Regulatory Approval ID: IDE605431

CLINICAL INFORMATION:
- Patient Population: Infant (0-2)
- Indications for Use: Used for thermal therapy guidance in oncology treatment centers for cancer patients.
- Contraindications: Contraindicated in patients with severe diabetes or unable to follow instructions.

TECHNICAL SPECIFICATIONS:
- Sterilization Method: Gamma Irradiation
- Device Lifetime: 4.0 years
- Device Weight: 0.56 kg
- Maximum Operating Temperature: 28.0°C

SAFETY METRICS:
- Number of Warnings: 9
- Number of Cautions: 27
"
Defibrillator,Max286,"Device Manual: Defibrillator Max286

DEVICE INFORMATION:
- Device Name: Defibrillator
- Model Number: Max286
- Manufacturer: Johnson & Johnson
- Manual Version: Version 4
- Publication Date: 2025-05-24

REGULATORY DETAILS:
- Device Class: Class III
- Regulatory Approval ID: NMPA-539754

CLINICAL INFORMATION:
- Patient Population: Pediatric (2-18)
- Indications for Use: Intended for imaging verification in quality assurance and device validation protocols.
- Contraindications: Do not use in patients with malignant hyperthermia. Contraindicated in electromagnetic interference zones.

TECHNICAL SPECIFICATIONS:
- Sterilization Method: Chemical Sterilization
- Device Lifetime: 9.0 years
- Device Weight: 16.05 kg
- Maximum Operating Temperature: 21.0°C

SAFETY METRICS:
- Number of Warnings: 21
- Number of Cautions: 27
"
Wound Care System,C-4061,"Device Manual: Wound Care System C-4061

DEVICE INFORMATION:
- Device Name: Wound Care System
- Model Number: C-4061
- Manufacturer: Steris
- Manual Version: 2023-05-G
- Publication Date: 2025-08-13

REGULATORY DETAILS:
- Device Class: Class III
- Regulatory Approval ID: Q635239

CLINICAL INFORMATION:
- Patient Population: Adult (>65)
- Indications for Use: Used for chemotherapy guidance in oncology treatment centers for cancer patients.
- Contraindications: Do not use in combination with iodine compounds or electrotherapy modalities.

TECHNICAL SPECIFICATIONS:
- Sterilization Method: UV Sterilization
- Device Lifetime: 14.0 years
- Device Weight: 13.63 kg
- Maximum Operating Temperature: 31.0°C

SAFETY METRICS:
- Number of Warnings: 9
- Number of Cautions: 14
"
Surgical Drill,X-3155,"Device Manual: Surgical Drill X-3155

DEVICE INFORMATION:
- Device Name: Surgical Drill
- Model Number: X-3155
- Manufacturer: Stryker
- Manual Version: 2023-01-E
- Publication Date: 2015-09-21

REGULATORY DETAILS:
- Device Class: Class II
- Regulatory Approval ID: UKCA45260

CLINICAL INFORMATION:
- Patient Population: Adult (>65)
- Indications for Use: Used for emergency hemodialysis in acute stroke situations requiring immediate care.
- Contraindications: Do not use if malformations is present or wound is infected.

TECHNICAL SPECIFICATIONS:
- Sterilization Method: Not Applicable
- Device Lifetime: 12.0 years
- Device Weight: 14.15 kg
- Maximum Operating Temperature: 32.0°C

SAFETY METRICS:
- Number of Warnings: 17
- Number of Cautions: 24
"
Ultrasound Scanner,Pro311,"Device Manual: Ultrasound Scanner Pro311

DEVICE INFORMATION:
- Device Name: Ultrasound Scanner
- Model Number: Pro311
- Manufacturer: Intuitive Surgical
- Manual Version: Version 15
- Publication Date: 2022-11-23

REGULATORY DETAILS:
- Device Class: Class I
- Regulatory Approval ID: PMDA-929081

CLINICAL INFORMATION:
- Patient Population: Adult
- Indications for Use: Intended for measurement guidance during minimally invasive endoscopic procedures.
- Contraindications: Do not use in patients with severe anemia. Contraindicated in infectious disease isolation.

TECHNICAL SPECIFICATIONS:
- Sterilization Method: Steam Sterilization
- Device Lifetime: 5.0 years
- Device Weight: 8.11 kg
- Maximum Operating Temperature: 15.0°C

SAFETY METRICS:
- Number of Warnings: 6
- Number of Cautions: 5
"
X-Ray Machine,MÖL679,"Device Manual: X-Ray Machine MÖL679

DEVICE INFORMATION:
- Device Name: X-Ray Machine
- Model Number: MÖL679
- Manufacturer: Mölnlycke Health Care
- Manual Version: 2020-11-E
- Publication Date: 2018-08-03

REGULATORY DETAILS:
- Device Class: Class IIb
- Regulatory Approval ID: CE8425

CLINICAL INFORMATION:
- Patient Population: Infant (0-2)
- Indications for Use: Intended for patient positioning support in cardiac catheterization laboratory environments.
- Contraindications: Contraindicated in patients with uncontrolled seizures or on corticosteroids.

TECHNICAL SPECIFICATIONS:
- Sterilization Method: Not Applicable
- Device Lifetime: 7.0 years
- Device Weight: 10.76 kg
- Maximum Operating Temperature: 11.0°C

SAFETY METRICS:
- Number of Warnings: 2
- Number of Cautions: 10
"
Electrosurgical Unit,Plus552,"Device Manual: Electrosurgical Unit Plus552

DEVICE INFORMATION:
- Device Name: Electrosurgical Unit
- Model Number: Plus552
- Manufacturer: Zimmer Biomet
- Manual Version: Rev. 7.7
- Publication Date: 2018-11-06

REGULATORY DETAILS:
- Device Class: Class I
- Regulatory Approval ID: CE4197

CLINICAL INFORMATION:
- Patient Population: Pediatric
- Indications for Use: Intended for blood transfusion delivery in palliative care settings for terminal patients.
- Contraindications: Avoid use if patient has uncontrolled seizures or is receiving corticosteroids.

TECHNICAL SPECIFICATIONS:
- Sterilization Method: Autoclave
- Device Lifetime: 11.0 years
- Device Weight: nan kg
- Maximum Operating Temperature: 34.0°C

SAFETY METRICS:
- Number of Warnings: 24
- Number of Cautions: 18
"
Anesthesia Machine,Max665,"Device Manual: Anesthesia Machine Max665

DEVICE INFORMATION:
- Device Name: Anesthesia Machine
- Model Number: Max665
- Manufacturer: Coloplast
- Manual Version: Rev. 7.9
- Publication Date: 2023-01-05

REGULATORY DETAILS:
- Device Class: Class I
- Regulatory Approval ID: H818172

CLINICAL INFORMATION:
- Patient Population: Adult and Pediatric
- Indications for Use: Designed for perioperative blood gas analysis management during gastroenterological interventions.
- Contraindications: Contraindicated in patients with pregnancy or on alcohol-based solutions.

TECHNICAL SPECIFICATIONS:
- Sterilization Method: Pre-Sterilized
- Device Lifetime: 19.0 years
- Device Weight: 34.0 kg
- Maximum Operating Temperature: nan°C

SAFETY METRICS:
- Number of Warnings: 17
- Number of Cautions: 27
"
Anesthesia Machine,A-3310,"Device Manual: Anesthesia Machine A-3310

DEVICE INFORMATION:
- Device Name: Anesthesia Machine
- Model Number: A-3310
- Manufacturer: Alcon
- Manual Version: v13.6
- Publication Date: 2021-03-18

REGULATORY DETAILS:
- Device Class: Class I
- Regulatory Approval ID: MDR-338237

CLINICAL INFORMATION:
- Patient Population: All
- Indications for Use: Intended for device maintenance guidance during minimally invasive emergency procedures.
- Contraindications: Do not use during general anesthesia administration or in sedated.

TECHNICAL SPECIFICATIONS:
- Sterilization Method: Autoclave
- Device Lifetime: 13.0 years
- Device Weight: 78.89 kg
- Maximum Operating Temperature: 36.0°C

SAFETY METRICS:
- Number of Warnings: 14
- Number of Cautions: 12
"
Dialysis Machine,Model 4852,"Device Manual: Dialysis Machine Model 4852

DEVICE INFORMATION:
- Device Name: Dialysis Machine
- Model Number: Model 4852
- Manufacturer: ResMed
- Manual Version: Rev. 5.3
- Publication Date: 2025-11-26

REGULATORY DETAILS:
- Device Class: Class IIa
- Regulatory Approval ID: CE5437

CLINICAL INFORMATION:
- Patient Population: Adult and Pediatric
- Indications for Use: Indicated for glucose levels optimization in sleep medicine centers for respiratory disorders.
- Contraindications: Contraindicated in patients with severe uncontrolled seizures or uncontrolled pulmonary edema.

TECHNICAL SPECIFICATIONS:
- Sterilization Method: nan
- Device Lifetime: 14.0 years
- Device Weight: 32.6 kg
- Maximum Operating Temperature: 30.0°C

SAFETY METRICS:
- Number of Warnings: 7
- Number of Cautions: 9
"
Defibrillator,Model 9767,"Device Manual: Defibrillator Model 9767

DEVICE INFORMATION:
- Device Name: Defibrillator
- Model Number: Model 9767
- Manufacturer: Terumo
- Manual Version: Rev. 6.2
- Publication Date: 2023-01-21

REGULATORY DETAILS:
- Device Class: Class IIa
- Regulatory Approval ID: BLA748776

CLINICAL INFORMATION:
- Patient Population: Adult (>65)
- Indications for Use: Designed for catheterization facilitation in telemedicine and remote patient monitoring.
- Contraindications: Not recommended for use in chemotherapy patients or those with malignant hyperthermia.

TECHNICAL SPECIFICATIONS:
- Sterilization Method: Single-Use Sterile
- Device Lifetime: 8.0 years
- Device Weight: 4.95 kg
- Maximum Operating Temperature: 26.0°C

SAFETY METRICS:
- Number of Warnings: 19
- Number of Cautions: 28
"
Electrosurgical Unit,WAT738,"Device Manual: Electrosurgical Unit WAT738

DEVICE INFORMATION:
- Device Name: Electrosurgical Unit
- Model Number: WAT738
- Manufacturer: Waters Corporation
- Manual Version: 2020-06-X
- Publication Date: 2018-04-07

REGULATORY DETAILS:
- Device Class: Class IIa
- Regulatory Approval ID: HC-777719

CLINICAL INFORMATION:
- Patient Population: Infant (0-2)
- Indications for Use: Indicated for continuous central venous pressure monitoring during gastroenterological surgical procedures.
- Contraindications: Do not use if battery depletion is detected or quality control has expired.

TECHNICAL SPECIFICATIONS:
- Sterilization Method: Not Applicable
- Device Lifetime: 5.0 years
- Device Weight: 19.46 kg
- Maximum Operating Temperature: 33.0°C

SAFETY METRICS:
- Number of Warnings: 21
- Number of Cautions: 16
"
Blood Glucose Monitor,MÖL946,"Device Manual: Blood Glucose Monitor MÖL946

DEVICE INFORMATION:
- Device Name: Blood Glucose Monitor
- Model Number: MÖL946
- Manufacturer: Mölnlycke Health Care
- Manual Version: Version 4
- Publication Date: 2017-12-30

REGULATORY DETAILS:
- Device Class: Class IIa
- Regulatory Approval ID: HDE399045

CLINICAL INFORMATION:
- Patient Population: Adult (18-65)
- Indications for Use: Intended for surgical gastroenterological procedures in operating room settings.
- Contraindications: Avoid use in patients with active peripheral vascular disease or compromised cardiovascular function.

TECHNICAL SPECIFICATIONS:
- Sterilization Method: nan
- Device Lifetime: 3.0 years
- Device Weight: 0.25 kg
- Maximum Operating Temperature: 32.0°C

SAFETY METRICS:
- Number of Warnings: 12
- Number of Cautions: 9
"
Electrosurgical Unit,Max429,"Device Manual: Electrosurgical Unit Max429

DEVICE INFORMATION:
- Device Name: Electrosurgical Unit
- Model Number: Max429
- Manufacturer: Baxter International
- Manual Version: v7.8
- Publication Date: 2021-07-01

REGULATORY DETAILS:
- Device Class: Class I
- Regulatory Approval ID: TGA-743951

CLINICAL INFORMATION:
- Patient Population: All
- Indications for Use: Indicated for diagnostic documentation to assess critical illness in clinical environments.
- Contraindications: Do not use in patients with sepsis. Contraindicated in oxygen-rich environments.

TECHNICAL SPECIFICATIONS:
- Sterilization Method: Not Applicable
- Device Lifetime: 14.0 years
- Device Weight: 17.62 kg
- Maximum Operating Temperature: 30.0°C

SAFETY METRICS:
- Number of Warnings: 20
- Number of Cautions: 21
"
Pulse Oximeter,RIC100,"Device Manual: Pulse Oximeter RIC100

DEVICE INFORMATION:
- Device Name: Pulse Oximeter
- Model Number: RIC100
- Manufacturer: Richard Wolf
- Manual Version: v8.3
- Publication Date: 2016-05-28

REGULATORY DETAILS:
- Device Class: Class IIb
- Regulatory Approval ID: H448961

CLINICAL INFORMATION:
- Patient Population: Pediatric (2-18)
- Indications for Use: Used for emergency medication administration in acute chronic conditions situations requiring immediate care.
- Contraindications: Avoid use in patients with severe diabetes or altered cognitive function.

TECHNICAL SPECIFICATIONS:
- Sterilization Method: Dry Heat
- Device Lifetime: 3.0 years
- Device Weight: 0.2 kg
- Maximum Operating Temperature: 26.0°C

SAFETY METRICS:
- Number of Warnings: 3
- Number of Cautions: 11
"
Pulse Oximeter,Pro719,"Device Manual: Pulse Oximeter Pro719

DEVICE INFORMATION:
- Device Name: Pulse Oximeter
- Model Number: Pro719
- Manufacturer: Becton Dickinson
- Manual Version: v6.4
- Publication Date: 2019-11-03

REGULATORY DETAILS:
- Device Class: Class III
- Regulatory Approval ID: IVDR-993544

CLINICAL INFORMATION:
- Patient Population: Adult (>65)
- Indications for Use: Designed for surgical assistance assistance in geriatric care facilities for elderly patients.
- Contraindications: Not recommended for use in ventilator-dependent patients or those with severe osteoporosis.

TECHNICAL SPECIFICATIONS:
- Sterilization Method: Hydrogen Peroxide Plasma
- Device Lifetime: 6.0 years
- Device Weight: 0.27 kg
- Maximum Operating Temperature: 16.0°C

SAFETY METRICS:
- Number of Warnings: 3
- Number of Cautions: 11
"
X-Ray Machine,A-6466,"Device Manual: X-Ray Machine A-6466

DEVICE INFORMATION:
- Device Name: X-Ray Machine
- Model Number: A-6466
- Manufacturer: Getinge
- Manual Version: v10.8
- Publication Date: 2022-11-16

REGULATORY DETAILS:
- Device Class: Class IIa
- Regulatory Approval ID: PMDA-627528

CLINICAL INFORMATION:
- Patient Population: Geriatric
- Indications for Use: Designed for home-based pain management in stable morbidly obese patients with chronic infectious diseases.
- Contraindications: Do not use in patients with metal implants. Contraindicated in power outages.

TECHNICAL SPECIFICATIONS:
- Sterilization Method: Ethylene Oxide (EtO)
- Device Lifetime: 14.0 years
- Device Weight: 18.19 kg
- Maximum Operating Temperature: 24.0°C

SAFETY METRICS:
- Number of Warnings: 2
- Number of Cautions: 5
"
Surgical Robot,CON104,"Device Manual: Surgical Robot CON104

DEVICE INFORMATION:
- Device Name: Surgical Robot
- Model Number: CON104
- Manufacturer: ConvaTec
- Manual Version: 2021-03-I
- Publication Date: 2024-10-17

REGULATORY DETAILS:
- Device Class: Class IIb
- Regulatory Approval ID: IDE219097

CLINICAL INFORMATION:
- Patient Population: All
- Indications for Use: Indicated for cardiac output optimization in sleep medicine centers for respiratory disorders.
- Contraindications: nan

TECHNICAL SPECIFICATIONS:
- Sterilization Method: Hydrogen Peroxide Plasma
- Device Lifetime: 6.0 years
- Device Weight: 7.97 kg
- Maximum Operating Temperature: 18.0°C

SAFETY METRICS:
- Number of Warnings: 21
- Number of Cautions: 28
"
CPAP Machine,Pro609,"Device Manual: CPAP Machine Pro609

DEVICE INFORMATION:
- Device Name: CPAP Machine
- Model Number: Pro609
- Manufacturer: Alcon
- Manual Version: 2021-07-Y
- Publication Date: 2015-04-18

REGULATORY DETAILS:
- Device Class: Class IIa
- Regulatory Approval ID: K663348

CLINICAL INFORMATION:
- Patient Population: Pediatric
- Indications for Use: Designed for perioperative cardiac output management during gastroenterological interventions.
- Contraindications: Do not use in patients with stroke. Contraindicated in power outages.

TECHNICAL SPECIFICATIONS:
- Sterilization Method: Steam Sterilization
- Device Lifetime: 8.0 years
- Device Weight: 15.25 kg
- Maximum Operating Temperature: 22.0°C

SAFETY METRICS:
- Number of Warnings: 8
- Number of Cautions: 14
"
Ventilator,A-3219,"Device Manual: Ventilator A-3219

DEVICE INFORMATION:
- Device Name: Ventilator
- Model Number: A-3219
- Manufacturer: Align Technology
- Manual Version: 2024-01-S
- Publication Date: 2021-01-17

REGULATORY DETAILS:
- Device Class: Class II
- Regulatory Approval ID: HDE680438

CLINICAL INFORMATION:
- Patient Population: Infant (0-2)
- Indications for Use: Designed for perioperative pulmonary function management during thoracic interventions.
- Contraindications: nan

TECHNICAL SPECIFICATIONS:
- Sterilization Method: Single-Use Sterile
- Device Lifetime: 15.0 years
- Device Weight: 103.69 kg
- Maximum Operating Temperature: 45.0°C

SAFETY METRICS:
- Number of Warnings: 19
- Number of Cautions: 18
"
Dialysis Machine,Plus602,"Device Manual: Dialysis Machine Plus602

DEVICE INFORMATION:
- Device Name: Dialysis Machine
- Model Number: Plus602
- Manufacturer: ConvaTec
- Manual Version: Version 5
- Publication Date: 2018-10-11

REGULATORY DETAILS:
- Device Class: Class II
- Regulatory Approval ID: nan

CLINICAL INFORMATION:
- Patient Population: Adult and Pediatric
- Indications for Use: Intended for monitoring and measuring cardiac output in trauma patients in hospital and clinical settings.
- Contraindications: Contraindicated in presence of radio frequencies or MRI environments exposure.

TECHNICAL SPECIFICATIONS:
- Sterilization Method: Chemical Sterilization
- Device Lifetime: 20.0 years
- Device Weight: 45.54 kg
- Maximum Operating Temperature: 32.0°C

SAFETY METRICS:
- Number of Warnings: 6
- Number of Cautions: 18
"
Digital Thermometer,Z-9007,"Device Manual: Digital Thermometer Z-9007

DEVICE INFORMATION:
- Device Name: Digital Thermometer
- Model Number: Z-9007
- Manufacturer: Cooper Companies
- Manual Version: 2022-07-N
- Publication Date: 2018-05-07

REGULATORY DETAILS:
- Device Class: Class III
- Regulatory Approval ID: Q349037

CLINICAL INFORMATION:
- Patient Population: Adult
- Indications for Use: Intended for quality control support in cardiac catheterization laboratory environments.
- Contraindications: nan

TECHNICAL SPECIFICATIONS:
- Sterilization Method: Steam Sterilization
- Device Lifetime: 3.0 years
- Device Weight: 0.15 kg
- Maximum Operating Temperature: 31.0°C

SAFETY METRICS:
- Number of Warnings: 9
- Number of Cautions: 5
"
Anesthesia Machine,SYN901,"Device Manual: Anesthesia Machine SYN901

DEVICE INFORMATION:
- Device Name: Anesthesia Machine
- Model Number: SYN901
- Manufacturer: Synthes
- Manual Version: Version 1
- Publication Date: 2021-02-13

REGULATORY DETAILS:
- Device Class: Class III
- Regulatory Approval ID: D129501

CLINICAL INFORMATION:
- Patient Population: Adult
- Indications for Use: Designed for home-based cardiac therapy in stable mentally impaired patients with chronic cancer.
- Contraindications: Do not use in patients with severe cardiac arrhythmias. Contraindicated in infectious disease isolation.

TECHNICAL SPECIFICATIONS:
- Sterilization Method: Single-Use Sterile
- Device Lifetime: nan years
- Device Weight: 97.92 kg
- Maximum Operating Temperature: 20.0°C

SAFETY METRICS:
- Number of Warnings: 14
- Number of Cautions: 15
"
Ventilator,Max340,"Device Manual: Ventilator Max340

DEVICE INFORMATION:
- Device Name: Ventilator
- Model Number: Max340
- Manufacturer: Thermo Fisher Scientific
- Manual Version: Rev. 10.7
- Publication Date: 2019-11-10

REGULATORY DETAILS:
- Device Class: Class IIb
- Regulatory Approval ID: NDA377634

CLINICAL INFORMATION:
- Patient Population: Pediatric
- Indications for Use: Intended for monitoring and measuring heart rate in terminally ill patients in hospital and clinical settings.
- Contraindications: Do not use in patients with sepsis. Contraindicated in underwater environments.

TECHNICAL SPECIFICATIONS:
- Sterilization Method: Steam Sterilization
- Device Lifetime: 9.0 years
- Device Weight: 47.43 kg
- Maximum Operating Temperature: 43.0°C

SAFETY METRICS:
- Number of Warnings: 22
- Number of Cautions: 29
"
CPAP Machine,Max829,"Device Manual: CPAP Machine Max829

DEVICE INFORMATION:
- Device Name: CPAP Machine
- Model Number: Max829
- Manufacturer: Siemens Healthineers
- Manual Version: Rev. 1.1
- Publication Date: 2015-02-22

REGULATORY DETAILS:
- Device Class: Class IIb
- Regulatory Approval ID: IVDR-994125

CLINICAL INFORMATION:
- Patient Population: Neonatal
- Indications for Use: Used for post-operative compression therapy management in hospital recovery units.
- Contraindications: Contraindicated in presence of iodine compounds or during defibrillation.

TECHNICAL SPECIFICATIONS:
- Sterilization Method: Gamma Irradiation
- Device Lifetime: 14.0 years
- Device Weight: 4.18 kg
- Maximum Operating Temperature: 38.0°C

SAFETY METRICS:
- Number of Warnings: 4
- Number of Cautions: 8
"
Catheter,Pro398,"Device Manual: Catheter Pro398

DEVICE INFORMATION:
- Device Name: Catheter
- Model Number: Pro398
- Manufacturer: 3M Healthcare
- Manual Version: 2022-03-K
- Publication Date: 2020-10-30

REGULATORY DETAILS:
- Device Class: Class III
- Regulatory Approval ID: IVDR-906088

CLINICAL INFORMATION:
- Patient Population: Adult
- Indications for Use: Intended for medication administration delivery in palliative care settings for terminal patients.
- Contraindications: Do not use during local anesthesia administration or in comatose.

TECHNICAL SPECIFICATIONS:
- Sterilization Method: nan
- Device Lifetime: 11.0 years
- Device Weight: 9.15 kg
- Maximum Operating Temperature: 25.0°C

SAFETY METRICS:
- Number of Warnings: 9
- Number of Cautions: 11
"
Digital Thermometer,B-4012,"Device Manual: Digital Thermometer B-4012

DEVICE INFORMATION:
- Device Name: Digital Thermometer
- Model Number: B-4012
- Manufacturer: Coloplast
- Manual Version: 2025-11-K
- Publication Date: 2024-04-09

REGULATORY DETAILS:
- Device Class: Class I
- Regulatory Approval ID: P414899

CLINICAL INFORMATION:
- Patient Population: Infant (0-2)
- Indications for Use: Designed for home-based cardiac therapy in stable dialysis-dependent patients with chronic trauma.
- Contraindications: Contraindicated in presence of radio frequencies or strong magnetic fields exposure.

TECHNICAL SPECIFICATIONS:
- Sterilization Method: Steam Sterilization
- Device Lifetime: 6.0 years
- Device Weight: 0.24 kg
- Maximum Operating Temperature: 33.0°C

SAFETY METRICS:
- Number of Warnings: 9
- Number of Cautions: 12
"
Anesthesia Machine,Pro691,"Device Manual: Anesthesia Machine Pro691

DEVICE INFORMATION:
- Device Name: Anesthesia Machine
- Model Number: Pro691
- Manufacturer: Cooper Companies
- Manual Version: 2022-06-C
- Publication Date: 2024-09-17

REGULATORY DETAILS:
- Device Class: Class IIb
- Regulatory Approval ID: PMA307523

CLINICAL INFORMATION:
- Patient Population: Pediatric
- Indications for Use: Designed for medication administration facilitation in telemedicine and remote patient monitoring.
- Contraindications: nan

TECHNICAL SPECIFICATIONS:
- Sterilization Method: Gamma Irradiation
- Device Lifetime: 11.0 years
- Device Weight: 43.23 kg
- Maximum Operating Temperature: 21.0°C

SAFETY METRICS:
- Number of Warnings: 22
- Number of Cautions: 29
"
Pulse Oximeter,Model 4172,"Device Manual: Pulse Oximeter Model 4172

DEVICE INFORMATION:
- Device Name: Pulse Oximeter
- Model Number: Model 4172
- Manufacturer: Sonova
- Manual Version: Version 18
- Publication Date: 2024-01-22

REGULATORY DETAILS:
- Device Class: Class III
- Regulatory Approval ID: MDR-195728

CLINICAL INFORMATION:
- Patient Population: Adult and Pediatric
- Indications for Use: Intended for imaging verification in quality assurance and device validation protocols.
- Contraindications: Avoid use in patients with severe hypertension or severe severe cardiac arrhythmias.

TECHNICAL SPECIFICATIONS:
- Sterilization Method: Hydrogen Peroxide Plasma
- Device Lifetime: 3.0 years
- Device Weight: 0.18 kg
- Maximum Operating Temperature: 25.0°C

SAFETY METRICS:
- Number of Warnings: 10
- Number of Cautions: 5
"
